,score,day,Movement
2020-04-15,0.022852173913043467,2,0.7945736152121796
2020-04-16,0.09220833333333334,3,-1.3568704238583695
2020-04-19,0.09998709677419353,6,-2.0756758314275037
2020-04-20,0.03471153846153845,0,-3.091030198693512
2020-04-21,0.07833589743589743,1,2.8803499372452412
2020-04-22,0.14984464285714288,2,-0.38753973673195663
2020-04-23,0.09716,3,2.8869632909068965
2020-04-26,0.05372058823529412,6,0.0706770629472997
2020-04-27,0.13619687500000002,0,-1.620943651828688
2020-04-28,0.1577561403508772,1,3.284530931401486
2020-04-29,0.16385573770491804,2,2.1096074247443086
2020-04-30,0.08308770491803279,3,-1.6099385183560022
2020-05-03,0.2601379310344828,6,1.414884581460174
2020-05-04,0.05735952380952381,0,1.5008855328124238
2020-05-05,0.15503389830508474,1,1.0317187281688511
2020-05-06,0.082855,2,1.034489648748238
2020-05-07,0.16286666666666666,3,2.3801759556752566
2020-05-10,0.10698399999999998,6,1.5735333032875332
2020-05-11,0.14322888888888888,0,-1.1428167776107778
2020-05-12,0.10775632183908047,1,-1.2074214114668802
2020-05-13,0.1818428571428571,2,0.6143441318879672
2020-05-14,0.10577377049180328,3,-0.5912055097726632
2020-05-17,0.008472727272727276,6,2.3561107614735732
2020-05-18,0.32345,0,-0.5778370575580838
2020-05-19,0.3289692307692308,1,1.9448170324080305
2020-05-20,0.27840615384615386,2,-0.7455487476179856
2020-05-21,0.3739574468085107,3,0.6438426618743165
2020-05-25,0.33132702702702704,0,-0.6773543656761194
2020-05-26,0.3161800000000001,1,0.43569841915342966
2020-05-27,0.20041111111111112,2,0.04400740402685788
2020-05-28,0.2062867924528302,3,-0.09740075284466743
2020-05-31,0.20480000000000004,6,1.2297895530648084
2020-06-01,0.1840905660377359,0,0.4629441026738679
2020-06-02,0.2667119047619048,1,0.5505039973347614
2020-06-03,0.095984375,2,-0.8612178269223336
2020-06-04,0.2769867924528301,3,2.848101836296957
2020-06-07,0.2588580645161291,6,0.5912456983667047
2020-06-08,0.3869557692307692,0,3.15780006762727
2020-06-09,0.2673842696629214,1,2.572750490664788
2020-06-10,0.1896711711711712,2,-4.801044310120384
2020-06-11,0.12592117647058826,3,0.8633508406794999
2020-06-14,0.3434499999999999,6,1.236719396991659
2020-06-15,0.3047018867924529,0,2.6502231428044976
2020-06-16,0.201896875,1,-0.13916890636385126
2020-06-17,0.2810216666666667,2,0.03982479733368738
2020-06-18,0.3689238095238096,3,-0.5714683097363116
2020-06-21,0.06603658536585368,6,2.616382288131436
2020-06-22,0.1967792452830188,0,2.134477153576353
2020-06-23,0.20481333333333335,1,-1.7652002458619531
2020-06-24,0.24192800000000003,2,1.327555050834861
2020-06-25,0.1654890625,3,-3.0725784356221864
2020-06-28,0.2467480769230769,6,2.3046641417480807
2020-06-29,0.291639393939394,0,0.8347590570408903
2020-06-30,0.3056013513513514,1,-0.18914305174120294
2020-07-01,0.28515342465753435,2,0.0
2020-07-05,0.051414285714285725,6,2.6750174189530407
2020-07-06,0.2318555555555556,0,-0.3102815864752584
2020-07-07,0.25244029850746275,1,2.329010625191952
2020-07-08,0.22219868421052635,2,0.4300305809844751
2020-07-09,0.2905046511627907,3,0.17492959052072266
2020-07-12,0.5200212121212122,6,-0.4613223415185663
2020-07-13,0.2277243697478992,0,1.6548397375417245
2020-07-14,0.34095083333333337,1,0.6877359680488304
2020-07-15,0.3811302521008401,2,-1.2304980553489053
2020-07-16,0.3421633928571428,3,-0.20202539569312838
2020-07-19,0.396052808988764,6,2.107399880872518
2020-07-20,0.3931505263157894,0,-1.3801694452892366
2020-07-21,0.33185909090909105,1,0.2809293145981995
2020-07-22,0.36006170212765964,2,-4.551647528073222
2020-07-23,0.2097269565217392,3,-0.2477300360122503
2020-07-26,0.33325901639344263,6,2.3700249104605
2020-07-27,0.19888571428571428,0,-1.6427499260640577
2020-07-28,0.2817262295081968,1,1.9168344055274122
2020-07-29,0.20557888888888892,2,1.210020770757958
2020-07-30,0.19421954887218046,3,10.468858789460423
2020-08-02,0.3109013698630137,6,2.519765575453703
2020-08-03,0.19131970802919707,0,0.6678116456798833
2020-08-04,0.20425196078431385,1,0.3624651481440644
2020-08-05,0.13324912280701753,2,3.488929672493568
2020-08-06,0.20868135593220344,3,-2.273575896152935
2020-08-09,0.11070270270270276,6,1.4534799922561348
2020-08-10,0.1895319444444444,0,-2.9739868002573777
2020-08-11,0.14942604166666662,1,3.323430400000005
2020-08-12,0.2231980198019802,2,1.769754857627559
2020-08-13,0.2322992907801419,3,-0.08912355292368668
2020-08-16,0.23275846153846155,6,-0.2610821725206658
2020-08-17,0.23416626506024105,0,0.8332805590084646
2020-08-18,0.20325256410256415,1,0.12547063277448256
2020-08-19,0.2012834123222749,2,2.2189616633051745
2020-08-20,0.20685301204819276,3,5.153245315523214
2020-08-23,0.2473264705882352,6,1.196023931912249
2020-08-24,0.21266593406593398,0,-0.8203730539756982
2020-08-25,0.07604460431654678,1,1.3599055003381988
2020-08-26,0.21965289256198356,2,-1.195437184654402
2020-08-27,0.1774753968253969,3,-0.16198623850913751
2020-08-30,0.15870188679245284,6,3.391214388769548
2020-08-31,0.19335148514851486,0,3.983261220418699
2020-09-01,0.1648552380952381,1,-2.0718431547391725
2020-09-02,0.1000758823529412,2,-8.006086362530574
2020-09-03,0.017904477611940302,3,0.06618299303895459
2020-09-07,0.2136226415094339,0,-6.7294965834118425
2020-09-08,0.16854210526315785,1,3.9886544938840585
2020-09-09,0.15150188679245286,2,-3.264577224684617
2020-09-10,0.17847710843373496,3,-1.3128892644794998
2020-09-13,0.22105263157894733,6,3.0000008928571464
2020-09-14,0.2388986301369863,0,0.15603328574866904
2020-09-15,0.16170552486187847,1,-2.9513622732269207
2020-09-16,0.14970461538461538,2,-1.5963623008034222
